2016-08-22,UNH,142.04,28.62%,95.00,144.48,1.37%,22.23,15.68,1.20,0.77,3.72,135.28B,10.31B,13.1212415131,11.96,UnitedHealth Group Incorporated (UNH)
2016-08-22,UTX,109.14,20.11%,83.39,109.83,2.31%,12.87,15.82,2.01,1.62,3.15,91.34B,3.59B,25.4428969359,10.52,United Technologies Corporation (UTX)
2016-08-22,V,80.47,17.72%,60.00,81.73,0.67%,34.20,24.24,1.79,13.16,7.00,189.97B,4.86B,39.0884773663,20.08,Visa Inc. (V)
2016-08-22,VZ,52.45,17.23%,38.06,56.95,4.52%,14.82,12.98,4.14,1.66,11.20,213.80B,32.85B,6.50837138508,6.78,Verizon Communications Inc. (VZ)
2016-08-22,WMT,72.81,13.85%,56.30,75.19,2.50%,15.67,16.25,5.13,0.48,3.02,226.92B,32.22B,7.04283054004,7.95,Wal-Mart Stores Inc. (WMT)
2016-08-22,XOM,87.80,27.76%,66.55,95.55,2.79%,34.87,20.09,1.92,1.79,2.16,364.08B,22.88B,15.9125874126,16.19,Exxon Mobil Corporation (XOM)
2016-08-23,AAPL,108.51,4.60%,89.47,123.82,N/A,12.65,12.18,1.67,2.68,4.66,584.70B,63.17B,9.25597593795,8.21,Apple Inc. (AAPL)
2016-08-23,AXP,65.36,-11.10%,50.27,78.40,1.32%,11.56,11.80,1.53,1.96,2.93,60.38B,9.88B,6.11133603239,N/A,American Express Company (AXP)
2016-08-23,BA,134.99,7.57%,102.10,150.59,2.25%,24.30,14.00,1.92,0.87,143.79,84.21B,10.44B,8.06609195402,10.93,The Boeing Company (BA)
2016-08-23,CAT,83.59,16.00%,56.36,84.73,2.73%,55.73,23.48,2.31,1.17,3.22,48.84B,6.12B,7.98039215686,14.49,Caterpillar Inc. (CAT)
2016-08-23,CSCO,30.63,24.41%,22.46,31.25,2.42%,14.52,11.96,1.35,3.12,2.41,154.06B,13.57B,11.3529845247,7.80,"Cisco Systems, Inc. (CSCO)"
2016-08-23,CVX,101.94,45.59%,69.84,107.58,3.59%,N/A,21.64,2.75,1.84,1.31,192.31B,13.59B,14.1508462104,15.51,Chevron Corporation (CVX)
2016-08-23,DD,69.95,42.58%,47.11,75.72,3.02%,27.82,18.96,2.67,2.48,6.04,61.16B,2.86B,21.3846153846,15.42,E. I. du Pont de Nemours and Company (DD)
2016-08-23,DIS,95.87,-0.02%,86.25,120.65,1.25%,17.23,15.74,1.55,2.77,3.71,154.07B,12.71B,12.1219512195,9.87,The Walt Disney Company (DIS)
2016-08-23,GE,31.32,34.59%,23.27,33.00,3.24%,26.45,18.21,1.67,2.30,3.30,280.67B,4.59B,61.1481481481,24.10,General Electric Company (GE)
2016-08-23,GS,166.26,-6.71%,138.20,199.90,1.34%,15.76,9.70,0.66,2.50,0.94,70.89B,13.74B,5.15938864629,N/A,"The Goldman Sachs Group, Inc. (GS)"
2016-08-23,HD,135.34,21.96%,109.62,139.00,1.97%,22.91,18.85,1.51,1.82,25.13,168.36B,10.32B,16.3139534884,12.64,"The Home Depot, Inc. (HD)"
2016-08-23,IBM,160.00,13.51%,116.90,164.95,2.28%,13.01,11.34,4.15,1.91,9.72,152.94B,18.60B,8.22258064516,10.40,International Business Machines Corporation (IBM)
